Ticker,Name,Recommendation Score
ETB,Eaton Vance Tax-Managed Buy-Wri,0.84
ETG,Eaton Vance Tax-Advantaged Glob,0.90
ETN,"Eaton Corporation, PLC",1.16
ETO,Eaton Vance Tax-Advantage Globa,0.83
ETR,Entergy Corporation,0.73
ETV,Eaton Vance Corporation Eaton V,0.84
ETW,Eaton Vance Corporation Eaton V,0.84
ETY,Eaton Vance Tax-Managed Diversi,0.66
EVER,"EverQuote, Inc.",1.75
EVF,Eaton Vance Senior Income Trust,1.36
EVG,Eaton Vance Short Diversified I,1.14
EVN,Eaton Vance Municipal Income Tr,1.01
EVR,Evercore Inc.,1.68
EVT,Eaton Vance Tax Advantaged Divi,0.35
EVTC,"Evertec, Inc.",1.74
EW,Edwards Lifesciences Corporatio,1.19
EXC,Exelon Corporation,1.32
EXP,Eagle Materials Inc,1.72
EXP,Eagle Materials Inc,1.72
EXR,Extra Space Storage Inc,0.70
F,Ford Motor Company,1.85
FBP,First BanCorp. New,-0.63
FC,Franklin Covey Company,1.11
FCF,First,0.81
FCN,"FTI Consulting, Inc.",1.52
FCT,First Trust Senior Floating Rat,1.25
FCX,"Freeport-McMoRan, Inc.",1.21
FDP,"Fresh Del Monte Produce, Inc.",1.18
FDS,FactSet Research Systems Inc.,1.39
FDX,FedEx Corporation,1.22
FE,FirstEnergy Corp.,2.45
FFA,First Trust Enhanced Equity Inc,0.87
FFC,Flaherty & Crumrine Preferred S,1.39
FHN,First Horizon Corporation,1.74
FI,"Fiserv, Inc.",1.59
FICO,Fair Isaac Corporation,1.61
FIX,"Comfort Systems USA, Inc.",1.38
FLC,Flaherty & Crumrine Total Retur,1.37
FLO,"Flowers Foods, Inc.",1.32
FLR,Fluor Corporation,1.81
FLS,Flowserve Corporation,1.10
FMC,FMC Corporation,1.57
FMN,Federated Premier Municipal Inc,1.11
FMS,Fresenius Medical Care AG,0.83
FMX,Fomento Economico Mexicano S.A.,0.98
FMY,First Trust Motgage Income Fund,1.15
FN,Fabrinet,1.08
FNB,F.N.B. Corporation,1.10
FNF,"Fidelity National Financial, In",0.77
FNV,Franco-Nevada Corporation,0.84
FOR,Forestar Group Inc,1.35
FR,"First Industrial Realty Trust, ",0.83
FRA,Blackrock Floating Rate Income ,1.30
FRO,Frontline Plc,1.34
FRT,Federal Realty Investment Trust,0.75
FSM,Fortuna Mining Corp.,1.55
FSS,Federal Signal Corporation,1.30
FT,Franklin Universal Trust,1.24
FTI,TechnipFMC plc,3.50
FTK,"Flotek Industries, Inc.",1.04
FUL,H. B. Fuller Company,1.96
G,Genpact Limited,1.69
GAB,"Gabelli Equity Trust, Inc. (The",0.75
GAM,"General American Investors, Inc",0.90
GB,Global Blue Group Holding AG,1.40
GBX,"Greenbrier Companies, Inc. (The",1.50
GCI,"Gannett Co., Inc.",1.01
GD,General Dynamics Corporation,1.42
GDV,Gabelli Dividend & Income Trust,0.83
GE,GE Aerospace,0.79
GEF,Greif Inc.,1.01
GEO,Geo Group Inc (The) REIT,0.31
GF,"New Germany Fund, Inc. (The)",0.73
GFF,Griffon Corporation,1.82
GFI,Gold Fields Limited,1.76
GGB,Gerdau S.A.,1.27
GGG,Graco Inc.,1.53
GGT,"Gabelli Multi-Media Trust, Inc.",0.74
GHI,Greystone Housing Impact Invest,0.48
GIB,CGI Inc.,1.48
GIL,"Gildan Activewear, Inc.",1.59
GIS,"General Mills, Inc.",1.83
GLP,Global Partners LP,1.31
GLW,Corning Incorporated,-0.12
GM,General Motors Company,1.09
GME,GameStop Corporation,0.14
GMED,"Globus Medical, Inc.",0.81
GNE,Genie Energy Ltd.,1.17
GNK,Genco Shipping & Trading Limite,0.93
GNRC,Generac Holdlings Inc.,1.15
GNW,Genworth Financial Inc,0.61
GPC,Genuine Parts Company,1.30
GPK,Graphic Packaging Holding Compa,1.40
GPN,Global Payments Inc.,1.24
GS,"Goldman Sachs Group, Inc. (The)",0.89
GSK,GSK plc,1.28
GSL,Global Ship Lease Inc New,1.99
GTN,"Gray Media, Inc.",2.11
GTY,Getty Realty Corporation,0.84
GUT,Gabelli Utility Trust (The),0.82
GVA,Granite Construction Incorporat,1.49
GWRE,"Guidewire Software, Inc.",-2.50
GWW,"W.W. Grainger, Inc.",1.87
H,Hyatt Hotels Corporation,0.94
HAE,Haemonetics Corporation,1.20
HAL,Halliburton Company,1.89
HASI,HA Sustainable Infrastructure C,0.61
HBM,Hudbay Minerals Inc.,1.04
HCA,"HCA Healthcare, Inc.",1.73
HCC,"Warrior Met Coal, Inc.",0.59
HCI,"HCI Group, Inc.",1.38
HD,"Home Depot, Inc. (The)",1.84
HDB,HDFC Bank Limited,0.58
HEI,Heico Corporation,0.51
HES,Hess Corporation,1.44
HIG,"The Hartford Insurance Group, I",1.71
HII,"Huntington Ingalls Industries, ",1.88
HIO,Western Asset High Income Oppor,1.19
HIW,"Highwoods Properties, Inc.",0.80
HIX,Western Asset High Income Fund ,1.28
HL,Hecla Mining Company,0.44
HLF,Herbalife Ltd.,2.07
HLX,"Helix Energy Solutions Group, I",0.75
HMC,"Honda Motor Company, Ltd.",1.09
HMN,Horace Mann Educators Corporati,0.89
HMY,Harmony Gold Mining Company Lim,1.99
HNI,HNI Corporation,1.78
HOG,"Harley-Davidson, Inc.",1.42
HON,Honeywell International Inc.,1.42
HOV,"Hovnanian Enterprises, Inc.",1.58
HP,"Helmerich & Payne, Inc.",1.33
HPF,John Hancock Pfd Income Fund II,1.28
HPI,John Hancock Preferred Income F,1.28
HPQ,HP Inc.,1.46
HPS,John Hancock Preferred Income F,1.28
HQH,Tekla Healthcare Investors,-0.81
HRB,"H&R Block, Inc.",1.97
HRL,Hormel Foods Corporation,1.26
HST,"Host Hotels & Resorts, Inc.",1.35
HSY,The Hershey Company,2.54
HTD,John Hancock Tax Advantaged Div,1.26
HTGC,"Hercules Capital, Inc.",1.42
HTH,Hilltop Holdings Inc.,0.66
HUM,Humana Inc.,2.32
HVT,"Haverty Furniture Companies, In",0.87
HXL,Hexcel Corporation,0.75
HY,"Hyster-Yale, Inc.",1.51
HYT,Blackrock Corporate High Yield ,1.25
IAG,Iamgold Corporation,1.63
IBM,International Business Machines,1.27
IBN,ICICI Bank Limited,0.77
ICE,Intercontinental Exchange Inc.,0.36
IDA,"IDACORP, Inc.",1.07
IDT,IDT Corporation,1.81
IEX,IDEX Corporation,1.63
IFN,"India Fund, Inc. (The)",0.73
IGA,Voya Global Advantage and Premi,0.99
IGD,Voya Global Equity Dividend and,0.98
IGT,International Game Technology,-0.36
IHG,Intercontinental Hotels Group,1.51
IIF,Morgan Stanley India Investment,0.75
IIM,Invesco Value Municipal Income ,0.71
IMAX,Imax Corporation,0.74
INFY,Infosys Limited,1.73
ING,"ING Group, N.V.",0.74
INGR,Ingredion Incorporated,2.15
INN,"Summit Hotel Properties, Inc.",4.82
IP,International Paper Company,0.63
IPG,"Interpublic Group of Companies,",1.65
IQI,Invesco Quality Municipal Incom,0.73
IR,Ingersoll Rand Inc.,1.55
IRM,Iron Mountain Incorporated (Del,-0.40
IRS,IRSA Inversiones Y Representaci,1.20
IT,"Gartner, Inc.",1.50
ITT,ITT Inc.,1.29
ITUB,Itau Unibanco Banco Holding SA,0.95
ITW,Illinois Tool Works Inc.,1.91
IVR,INVESCO MORTGAGE CAPITAL INC,0.61
IVZ,Invesco Ltd,0.72
IX,ORIX Corporation,0.97
JBI,"Janus International Group, Inc.",1.40
JBL,Jabil Inc.,0.39
JCI,Johnson Controls International ,0.53
JEQ,"Aberdeen Japan Equity Fund, Inc",0.77
JHI,John Hancock Investors Trust,1.10
JHS,John Hancock Income Securities ,1.04
JHX,James Hardie Industries plc.,1.38
JLL,Jones Lang LaSalle Incorporated,1.21
JNPR,"Juniper Networks, Inc.",0.95
JOE,St. Joe Company (The),-0.68
JOF,Japan Smaller Capitalization Fu,0.28
JPC,Nuveen Preferred & Income Oppor,1.27
JPM,JP Morgan Chase & Co.,0.72
JQC,Nuveen Credit Strategies Income,1.33
K,Kellanova,0.24
KAI,Kadant Inc,1.45
KAR,"OPENLANE, Inc.",0.84
KB,KB Financial Group Inc,0.85
KBH,KB Home,2.08
KBR,"KBR, Inc.",1.60
KEP,Korea Electric Power Corporatio,1.26
KEX,Kirby Corporation,1.45
KFY,Korn Ferry,1.91
KGC,Kinross Gold Corporation,1.62
KIM,Kimco Realty Corporation (HC),0.66
KKR,KKR & Co. Inc.,-0.09
KMB,Kimberly-Clark Corporation,4.16
KMI,"Kinder Morgan, Inc.",0.92
KMPR,Kemper Corporation,1.03
KMT,Kennametal Inc.,1.10
KMX,CarMax Inc,0.91
KNOP,KNOT Offshore Partners LP,0.65
KNX,Knight-Swift Transportation Hol,0.29
KO,Coca-Cola Company (The),1.33
KOF,Coca Cola Femsa S.A.B. de C.V.,1.28
KOP,Koppers Holdings Inc.,1.11
KR,Kroger Company (The),1.16
KRC,Kilroy Realty Corporation,1.26
KRG,Kite Realty Group Trust,-1.27
KRO,Kronos Worldwide Inc,1.45
KSM,DWS Strategic Municipal Income ,0.77
KSS,Kohl's Corporation,2.59
KT,KT Corporation,0.61
KTF,DWS Municipal Income Trust,1.06
KWR,Quaker Houghton,0.97
KYN,Kayne Anderson MLP/Midstream In,1.06
L,Loews Corporation,0.80
LAD,"Lithia Motors, Inc.",1.31
LAZ,"Lazard, Inc.",1.39
LEA,Lear Corporation,1.99
LEN,Lennar Corporation,1.57
LGI,Lazard Global Total Return and ,0.59
LH,Labcorp Holdings Inc.,1.46
LII,"Lennox International, Inc.",1.82
LIN,Linde plc,1.63
LITB,"LightInTheBox Holding Co., Ltd.",0.98
LLY,Eli Lilly and Company,0.53
LMT,Lockheed Martin Corporation,2.93
LNC,Lincoln National Corporation,0.91
LND,Brasilagro Brazilian Agric Real,1.53
LNN,Lindsay Corporation,1.27
LNT,Alliant Energy Corporation,0.79
LOW,"Lowe's Companies, Inc.",2.26
LPX,Louisiana-Pacific Corporation,1.80
LRN,"Stride, Inc.",1.59
LSE,"Leishen Energy Holding Co., Ltd",1.48
LTC,"LTC Properties, Inc.",1.05
LTM,LATAM Airlines Group S.A.,1.47
LUV,Southwest Airlines Company,-0.00
LXFR,Luxfer Holdings PLC,1.96
LXP,LXP Industrial Trust,0.21
LYB,LyondellBasell Industries NV,0.95
LYG,Lloyds Banking Group Plc,0.70
LYV,"Live Nation Entertainment, Inc.",0.50
LZB,La-Z-Boy Incorporated,1.20
M,Macy's Inc,1.57
MA,Mastercard Incorporated,0.13
MAA,Mid-America Apartment Communiti,0.77
MAIN,Main Street Capital Corporation,1.36
MAR,Marriott International,1.24
MAS,Masco Corporation,2.42
MATX,"Matson, Inc.",2.21
MAV,Pioneer Municipal High Income A,-0.18
MCD,McDonald's Corporation,1.72
MCI,Barings Corporate Investors,1.38
MCK,McKesson Corporation,0.61
MCN,Madison Covered Call & Equity S,0.51
MCO,Moody's Corporation,1.25
MCR,MFS Charter Income Trust,1.20
MCY,Mercury General Corporation,1.01
MDT,Medtronic plc.,0.99
MDU,"MDU Resources Group, Inc.",0.83
MET,"MetLife, Inc.",1.43
MFA,"MFA Financial, Inc.",0.89
MFC,Manulife Financial Corporation,0.60
MFG,"Mizuho Financial Group, Inc. Sp",0.64
MFM,MFS Municipal Income Trust,0.70
MG,Mistras Group Inc,1.12
MGA,"Magna International, Inc.",1.22
MGF,MFS Government Markets Income T,0.85
MGM,MGM Resorts International,0.86
MHD,"Blackrock MuniHoldings Fund, In",0.29
